NUM_Thefts,hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
1.688,1700 TRAFALGAR ST,Residential,51.99,0.0850698073260034,0.0682183806991898,2.3275065499913497e-06,0.0788666412310221,0.4222281691886943,0.1124752129861884,0.1507813597847802,0.6488161302256752,0.3329413494046744,0.3214285714285713,0.016,0.255555555555556,0.1718750000000002,0.6064457000350847,0.2565003821575806,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.306,100 E 17TH AV,Residential,93.62,0.0190649020386727,0.1228450481706693,0.0862760127950793,0.0163856146074622,0.1588301668901752,0.0562429241683554,0.102335169810118,0.2697928227894932,0.6899897104218727,0.584415584415584,0.604,0.2111111111111117,0.2968749999999998,0.39911676202551,0.1413955729200554,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.38,1500 W 14TH AV,Residential,127.34,0.0226042622021118,0.1670922551641424,0.3211097861564566,0.0146264799233623,0.2574968060675696,0.0654871708425484,0.0461188431789833,0.4744728079911209,0.171541966779362,0.2207792207792206,0.154,0.5666666666666669,0.3671875000000003,0.2113458192260422,0.3869226296186468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.809,1000 BURNABY ST,Residential,206.277,0.032284704193533,0.2706742843945927,0.0,0.02964719264902,0.1149723441192104,0.0476139325218915,0.0730872367519423,0.7256751757306696,0.6936645597530501,0.7792207792207789,1.0,0.5,0.2265624999999999,0.0115657374976913,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.863,100 GARDEN DRIVE,Residential,50.646,0.0707399952357156,0.0664547909542542,0.024824409026691,0.0552159214534698,0.3223500126753577,0.0525731964705525,0.0684709338795922,0.3922493525712172,0.5256504483316184,0.8019480519480517,0.608,0.2111111111111117,0.2031250000000001,0.3734137795936593,0.2234996691660948,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6.847,2400 STEPHENS ST,Residential,48.516,0.0074942752495425,0.0636598161352715,0.0802283749426851,0.0010580794985949,0.4648382593159809,0.0348238599834833,0.0175706353012077,0.6488161302256752,0.3329413494046744,0.3214285714285713,0.016,0.255555555555556,0.1718750000000002,0.6064457000350847,0.2565003821575806,0.0,0.0,1.0,0.0,0.2857142857142857,0.3214285714285714,0.0,0.0,0.25,0.5,1.0,1.0,0.0,0.0,0.0,1.0
2.042,2100 GRANVILLE ST,Arterial,65.762,0.0222986523038296,0.0862899268057768,0.0982595681854681,0.0021191120518887,0.2009295804870294,0.0123715714953462,0.023816732848403,0.4744728079911209,0.171541966779362,0.2207792207792206,0.154,0.5666666666666669,0.3671875000000003,0.2113458192260422,0.3869226296186468,1.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.25,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0
1.912,0 E 16TH AV,Secondary Arterial,18.167,0.0690892669741607,0.0238373298411457,2.3275065499913497e-06,0.0679828628329716,0.1320960809747153,0.1419308797934189,0.0013291881014847,0.2697928227894932,0.6899897104218727,0.584415584415584,0.604,0.2111111111111117,0.2968749999999998,0.39911676202551,0.1413955729200554,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0
6.947,1200 NELSON ST,Residential,131.731,0.0370589271166979,0.1728527901196983,0.0860052461997636,0.0298400271208543,0.1105329170697936,0.1711956420587699,0.2292179448361586,0.7256751757306696,0.6936645597530501,0.7792207792207789,1.0,0.5,0.2265624999999999,0.0115657374976913,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.029,100 HEATLEY AV,Residential,50.328,0.0084924766855985,0.0660375130235329,0.0810841215175653,0.0192291109769768,0.1862447479326417,0.0196791208393844,0.0182268992902787,0.0853681095079541,0.3180949581067176,0.3896103896103896,0.044,1.0,1.0,0.3177312210371334,0.0524430927273661,0.0,0.0,1.0,0.0,0.1428571428571428,0.0,0.0,0.25,0.25,0.5,1.0,0.0,1.0,0.0,0.0,0.0
6.641,700 BUTE ST,Arterial,65.111,0.0453743736782915,0.0854370002178243,0.1434752620966334,0.0014505404680709,0.0566030339747059,0.0284612615333729,0.0235516195812948,0.7256751757306696,0.6936645597530501,0.7792207792207789,1.0,0.5,0.2265624999999999,0.0115657374976913,1.0,1.0,0.0,0.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.196,1600 VINE ST,Residential,49.174,0.0490755455866545,0.0645232402812295,0.0879712133989897,0.0401668594027033,0.3527927088683963,0.0872130648899959,0.1244178011244858,0.6488161302256752,0.3329413494046744,0.3214285714285713,0.016,0.255555555555556,0.1718750000000002,0.6064457000350847,0.2565003821575806,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.045,3600 WILLIAM ST,Residential,49.387,0.2361147043395053,0.0648014255683771,0.2890064883124258,0.694873556103905,0.2183198457309273,0.0247091098690203,0.1618320920334187,0.4921383647798742,0.4221666911656622,0.7402597402597403,0.86,0.4444444444444444,0.5156250000000002,0.8917212266703911,0.1191238120001616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.767,2400 E 22ND AV,Collector,95.429,0.0661977749487466,0.1252201206694292,2.3275065499913497e-06,0.4331832984676009,0.0351729308071958,0.0069480744963762,0.0741085747481786,0.8057713651498335,0.6958694693517565,0.4512987012987012,0.12,0.3222222222222228,0.3515625,0.8581286315145517,0.2353033277434874,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.958,7400 WINDSOR ST,Residential,47.803,0.3148160858888046,0.0627255334727759,0.0185285038089644,0.2510028573757266,0.3289782278181579,0.2118216175198256,0.1740881479882539,0.5277469478357381,0.2587093929148905,0.6201298701298701,0.434,0.1666666666666666,0.2500000000000003,0.6372717832175568,0.1927217973496884,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
