hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_Thefts,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
300 E 39TH AV,Residential,167.158,355.269,83.579,94.034,582.028,1311.274,239.047,274.671,22555,27225,65.1,1580,40.2,39.3,4935559.289290368,0.004569897488405,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
8100-8700 YUKON ST,Residential,355.098,148.911,177.549,151.539,1580.297,215.429,163.025,177.235,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
4500 OSLER ST,Residential,102.233,876.415,51.117,153.957,579.455,1162.303,181.531,174.199,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4100 HUDSON ST,Residential,68.892,662.496,34.446,236.58,893.997,1385.572,38.845,346.082,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0
1400 E 33RD AV,Secondary Arterial,18.586,642.838,9.293,24.6,1308.293,1606.791,131.609,9.293,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,1,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,1,0
6900 BEECHWOOD ST,Residential,49.683,637.016,24.841,299.581,1148.909,2943.782,282.67,374.285,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1300 GARDEN DRIVE,Residential,50.41,101.598,25.205,165.57,798.11,1289.102,104.296,133.938,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,1,1
700 E 47TH AV,Residential,50.213,175.565,25.106,199.112,140.284,2044.761,171.024,175.99,36500,12555,66.2,1155,39.8,38.7,6580960.970335784,0.005546302457122,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
3900 W 27TH AV,Residential,50.37,485.876,25.185,212.342,1738.08,5575.772,480.191,487.793,21425,4120,63.3,295,41.1,44.1,9087032.917377183,0.002357755297555,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
300 PRINCESS AV,Residential,55.321,44.223,35.694,252.73,163.314,1140.181,47.191,35.694,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,44.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0
3800 PENTICTON ST,Residential,49.692,308.059,24.846,115.95,1677.515,323.486,77.521,203.569,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1700 ALBERNI ST,Arterial,121.924,99.411,60.962,29.308,6.434,1163.437,79.367,97.762,47200,27350,71.1,2570,42.8,38.4,2257987.747623282,0.020903567811509,1,0,0,0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
8600-8700 RIVER DIST. CROSSING,Residential,52.307,3094.576,26.153,312.203,3217.993,3889.55,529.144,487.152,29325,19110,62.3,430,42.4,43.4,6939576.693017392,0.004225762074149,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0,0,0
3000-3100 W 53RD AV,Residential,220.58,1378.072,110.29,123.475,1524.2,4251.506,1261.728,637.145,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
